Date,Description,Amount
15-01-2024,Starbucks Coffee Downtown,-5.5
15-01-2024,Salary Deposit - ABC Corp,3500
16-01-2024,Uber Ride to Airport,-25.3
16-01-2024,Amazon Purchase - Electronics,-89.99
17-01-2024,Grocery Shopping - Walmart,-67.45
18-01-2024,Electric Bill Payment,-125
19-01-2024,Movie Tickets - AMC Theater,-24
20-01-2024,Gas Station - Shell,-45.2
21-01-2024,Doctor Visit Copay,-30
22-01-2024,ATM Withdrawal Fee,-3.5
15-01-2024,Starbucks Coffee Downtown,-5.5
15-01-2024,Salary Deposit - ABC Corp,3500
16-01-2024,Uber Ride to Airport,-25.3
16-01-2024,Amazon Purchase - Electronics,-89.99
17-01-2024,Grocery Shopping - Walmart,-67.45
18-01-2024,Electric Bill Payment,-125
19-01-2024,Movie Tickets - AMC Theater,-24
20-01-2024,Gas Station - Shell,-45.2
21-01-2024,Doctor Visit Copay,-30
22-01-2024,ATM Withdrawal Fee,-3.5
